VideoID,Title,Publish_Date,Publish_Time,Day_of_the_week,Hour_of_the_day,Views,Likes,Dislikes,Comments,Engagement Rate,
3UMBcd3TyhQ,What is SEO (Search Engine Optimization) & How it's Work? | Types of SEO & SEO Techniques,22-08-2015,14:25:10,Saturday,14.00,419504.00,3713.00,0.00,295.00,371300.00%,
8RvAdYyvtcM,SEO Tutorial - What is Search Engine Working | Crawlers | Ranking Algorithm,06-09-2015,13:50:41,Sunday,13.00,147843.00,1061.00,0.00,76.00,106100.00%,
O6RZPzYxMls,"TYPES OF SEO: White Hat, Grey Hat & Black Hat SEO - Full Guide",19-09-2015,08:25:17,Saturday,8.00,127662.00,1082.00,0.00,48.00,108200.00%,
nmX-C9emvEs,On-Page SEO: Big Guide to On-Page Optimization - Complete Tutorial,19-09-2015,10:38:26,Saturday,10.00,248356.00,2389.00,0.00,256.00,238900.00%,
2IXS-B_Zafk,Google Keyword Planner Tutorial - What is Keyword Analysis | SEO Tutorial,25-09-2015,14:25:10,Friday,14.00,135444.00,1429.00,0.00,310.00,142900.00%,
LtK-IJU5_R8,Tag Optimization | Meta Tag Optimization | Meta Keywords | SEO Tutorial,04-10-2015,13:50:41,Sunday,13.00,75909.00,645.00,0.00,70.00,64500.00%,
l2UbaPlI_5U,How to create a sitemap for a website | what is a sitemap | Sitemap Generator - Part 7,09-10-2015,08:25:17,Friday,8.00,66666.00,387.00,0.00,53.00,38700.00%,
40hlRN0paks,How to create a Robot.txt | what is a Robots.txt | Robots exclusion standard - Part 8,17-10-2015,10:38:26,Saturday,10.00,58469.00,392.00,0.00,46.00,39200.00%,
EZtFZgpfJOw,How to submit sitemap to Google | Sitemap Submission | Google webmaster submit URL - Part 9,26-10-2015,14:25:10,Monday,14.00,44194.00,210.00,0.00,39.00,21000.00%,
jC7T0QByn7A,Working of Google Webmaster | Google Webmaster Tool | Webmaster Tools -Part 10,05-11-2015,13:50:41,Thursday,13.00,47120.00,280.00,0.00,66.00,28000.00%,
WP7PhA7DHRA,Google Analytics | Submit Website on Google Analytics | Google Web Analytics -Part 11,21-11-2015,08:25:17,Saturday,8.00,33516.00,166.00,0.00,24.00,16600.00%,
